Team,Won,Lost,Tied,Pct.,Years,Total Games,Conference
Kennesaw State,48,15,0,.762,5,63,Big South
Yale,916,380,55,.698,148,1351,Ivy League
Grambling,575,254,15,.690,77,844,SWAC
Harvard,879,403,50,.679,146,1332,Ivy League
Princeton,840,413,50,.664,151,1303,Ivy League
North Dakota State,741,371,34,.661,126,1146,MVFC
Tennessee State,569,302,32,.648,96,903,OVC
Dayton,687,377,25,.642,112,1089,Pioneer
Florida A&M,597,334,22,.638,104,953,MEAC
North Alabama,476,276,16,.630,71,768,Big South
Penn,861,500,42,.629,144,1403,Ivy League
McNeese State,471,275,14,.629,69,760,Southland
South Carolina State,546,338,27,.614,100,911,MEAC
Southern,576,361,25,.612,98,962,SWAC
Northern Iowa,680,426,47,.610,125,1153,MVFC
North Dakota,657,415,30,.610,123,1102,MVFC
James Madison,331,213,4,.608,47,548,CAA
Bethune-Cookman,503,323,27,.606,95,853,MEAC
Dartmouth,715,458,46,.605,139,1219,Ivy League
Eastern Kentucky,612,397,38,.603,107,1047,OVC
Jackson State,462,302,15,.603,74,779,SWAC
Delaware,701,467,43,.597,131,1211,CAA
Central Arkansas,596,399,42,.595,108,1037,Southland
San Diego,318,217,6,.593,53,541,Pioneer
Youngstown State,486,332,17,.592,83,835,MVFC
Jacksonville State,582,408,39,.585,110,1029,OVC
Albany,289,206,0,.584,50,495,CAA
Eastern Washington,557,416,22,.571,119,995,BSC
Hampton,576,432,36,.569,118,1043,Big South
Colgate,660,496,50,.568,129,1206,Patriot
Monmouth,163,124,0,.568,35,287,Big South
Duquesne,383,293,18,.565,76,694,NEC
South Dakota State,609,470,36,.562,124,1115,MVFC
Villanova,631,490,41,.561,127,1162,CAA
Alcorn State,477,370,39,.560,97,886,SWAC
Furman,616,481,38,.559,114,1135,SoCon
North Carolina A&T,516,411,40,.554,96,967,MEAC
Butler,591,478,35,.551,130,1104,Pioneer
UC Davis,524,424,33,.551,105,981,BSC
New Hampshire,584,479,54,.547,127,1117,CAA
Cornell,648,536,34,.546,133,1218,Ivy League
Cal Poly,511,423,19,.546,105,953,BSC
Drake,627,520,29,.545,126,1176,Pioneer
Fordham,544,450,48,.545,118,1042,Patriot
Montana,604,505,26,.544,123,1135,BSC
Holy Cross,639,535,55,.542,124,1229,Patriot
North Carolina Central,456,394,27,.535,97,877,MEAC
Lehigh,700,611,45,.533,136,1356,Patriot
Abilene Christian,500,437,32,.533,98,969,Southland
Sam Houston State,542,474,34,.532,104,1050,Southland
Western Illinois,545,481,37,.530,117,1063,MVFC
Elon,514,458,18,.528,102,990,CAA
Northwestern State,536,479,33,.527,111,1048,Southland
Georgetown,481,431,32,.526,108,944,Patriot
LIU,30,27,1,.526,8,58,NEC
Towson,286,260,4,.524,51,550,CAA
Stetson,191,172,27,.524,55,390,Pioneer
Lafayette,682,621,39,.523,138,1342,Patriot
Bryant,117,107,0,.522,21,226,NEC
Wagner,414,380,19,.521,93,815,NEC
Murray State,485,448,36,.519,95,969,OVC
Merrimack,126,117,0,.519,24,243,NEC
Howard,507,475,40,.516,127,1022,MEAC
Southeastern Louisiana,347,325,17,.516,70,689,Southland
Wofford,543,511,36,.515,111,1090,SoCon
Maine,543,513,38,.514,128,1094,CAA
Stony Brook,192,183,2,.512,37,377,CAA
Montana State,514,495,34,.509,123,1043,BSC
Northern Arizona,481,463,23,.509,105,967,BSC
Brown,615,594,40,.508,134,1249,Ivy League
Alabama A&M,429,415,33,.508,95,877,SWAC
Alabama State,489,480,43,.504,114,1012,SWAC
South Dakota,545,541,36,.502,131,1122,MVFC
Bucknell,604,601,51,.501,134,1256,Patriot
William & Mary,582,579,39,.501,127,1200,CAA
Chattanooga,541,541,33,.500,112,1115,SoCon
Samford,468,470,47,.499,104,985,SoCon
Morgan State,440,442,35,.499,100,917,MEAC
Tarleton State,304,308,3,.497,59,615,Independent
Presbyterian,507,523,35,.492,107,1065,Independent
Eastern Illinois,519,541,44,.490,119,1104,OVC
Weber State,312,325,3,.490,58,640,BSC
Illinois State,521,553,68,.486,133,1142,MVFC
Robert Morris,133,141,1,.485,26,275,Independent
Portland State,334,357,7,.484,65,698,BSC
Missouri State,471,517,40,.478,111,1028,MVFC
Northern Colorado,445,491,23,.476,113,959,BSC
Prairie View,441,487,33,.476,96,961,SWAC
Norfolk State,338,375,13,.475,82,726,MEAC
The Citadel,513,571,32,.474,112,1116,SoCon
Idaho State,475,529,20,.474,118,1024,BSC
Central Connecticut State,338,377,21,.474,84,736,NEC
Southern Utah,271,310,6,.472,57,587,BSC
Southeast Missouri State,471,537,37,.468,114,1044,OVC
Gardner-Webb,250,289,2,.464,50,541,Big South
Sacred Heart,142,165,0,.463,29,307,NEC
Richmond,557,654,53,.462,139,1264,CAA
Southern Illinois,456,533,32,.462,107,1021,MVFC
East Tennessee State,364,433,27,.458,85,824,SoCon
Tennessee Tech,427,523,31,.451,98,981,OVC
Mercer,166,204,14,.451,46,384,SoCon
Marist,186,231,3,.446,42,420,Pioneer
Delaware State,357,450,11,.443,96,818,MEAC
Stephen F. Austin,407,528,31,.437,93,966,Southland
Arkansas-Pine Bluff,356,465,44,.437,90,865,SWAC
Texas Southern,326,429,27,.434,74,782,SWAC
Valparaiso,385,511,27,.432,99,923,Pioneer
Idaho,468,624,26,.430,126,1118,BSC
Sacramento State,291,391,8,.428,66,690,BSC
Lamar,218,293,9,.428,49,520,Southland
Indiana State,395,541,23,.424,115,959,MVFC
Morehead State,352,486,22,.422,90,860,Pioneer
UT Martin,190,267,1,.416,41,458,OVC
Charleston Southern,133,187,0,.416,29,320,Big South
Nicholls State,219,311,4,.414,48,534,Southland
Davidson,437,630,45,.413,122,1112,Pioneer
VMI,478,712,42,.405,129,1232,SoCon
Western Carolina,346,515,23,.404,86,884,SoCon
Rhode Island,402,626,43,.395,125,1071,CAA
Columbia,395,681,43,.372,150,1119,Ivy League
Mississippi Valley,236,409,12,.368,67,657,SWAC
Austin Peay,299,545,16,.357,83,860,OVC
Saint Francis (PA),208,398,12,.346,79,618,NEC
Dixie State,52,100,0,.342,14,152,Independent
Incarnate Word,41,79,0,.342,12,120,Southland
Campbell,43,83,0,.341,12,126,Big South
Houston Baptist,15,55,0,.214,6,70,Southland
